# T[s],gimbal_a_enable,gimbal_a_target[enc],gimbal_b_enable,gimbal_b_target[enc],gasjet
-29.474,0,0,0,0,0
-29.463,0,0,0,0,0
-29.453,0,0,0,0,0
-29.443,0,0,0,0,0
-29.434,0,0,0,0,0
-29.424,0,0,0,0,0
-29.414,0,0,0,0,0
-29.404,0,0,0,0,0
-29.393,0,0,0,0,0
-29.384,0,0,0,0,0
-29.373,0,0,0,0,0
-29.363,0,0,0,0,0
-29.353,0,0,0,0,0
-29.343,0,0,0,0,0
-29.334,0,0,0,0,0
-29.324,0,0,0,0,0
-29.314,0,0,0,0,0
-29.304,0,0,0,0,0
-29.293,0,0,0,0,0
-29.283,0,0,0,0,0
-29.272,0,0,0,0,0
-29.264,0,0,0,0,0
-29.254,0,0,0,0,0
-29.243,0,0,0,0,0
-29.234,0,0,0,0,0
-29.224,0,0,0,0,0
-29.214,0,0,0,0,0
-29.203,0,0,0,0,0
-29.193,0,0,0,0,0
-29.183,0,0,0,0,0
-29.174,0,0,0,0,0
-29.162,0,0,0,0,0
-29.154,0,0,0,0,0
-29.144,0,0,0,0,0
-29.133,0,0,0,0,0
-29.123,0,0,0,0,0
-29.113,0,0,0,0,0
-29.103,0,0,0,0,0
-29.094,0,0,0,0,0
-29.084,0,0,0,0,0
-29.073,0,0,0,0,0
-29.064,0,0,0,0,0
-29.054,0,0,0,0,0
-29.044,0,0,0,0,0
-29.033,0,0,0,0,0
-29.023,0,0,0,0,0
